"","Date","Individual","Foreigner","Institution"
"295","18.05.02","2,791","-1,632","-1,203"
"296","18.04.30","-1,892","2,432","-112"
"297","18.04.27","2,576","1,611","-4,116"
"298","18.04.26","14","1,710","-1,654"
"299","18.04.25","6,137","-7,620","70"
"300","18.04.24","2,707","-4,388","1,684"
"301","18.04.23","3,143","-2,946","92"
"302","18.04.20","3,422","-4,884","1,612"
"303","18.04.19","646","1,814","-2,406"
"304","18.04.18","-3,882","3,439","525"
"305","18.04.17","2,220","-2,760","487"
"306","18.04.16","658","-366","-108"
"307","18.04.13","-36","543","-470"
"308","18.04.12","-731","2,346","-1,518"
"309","18.04.11","1,981","4,640","-980"
"310","18.04.10","327","-1,207","1,108"
"311","18.04.09","-558","-565","1,140"
"312","18.04.06","2,289","-2,392","194"
"313","18.04.05","-2,736","1,475","1,203"
"314","18.04.04","5,286","-1,989","-3,490"
"315","18.04.03","1,289","-1,064","-165"
"316","18.04.02","738","-269","-216"
"317","18.03.30","-1,153","-1,717","2,966"
"318","18.03.29","5,778","-2,704","339"
"319","18.03.28","2,766","-2,464","-331"
"320","18.03.27","-898","144","762"
"321","18.03.26","520","-1,010","465"
"322","18.03.23","7,518","-1,317","-6,438"
"323","18.03.22","-2,987","2,081","821"
"324","18.03.21","-637","-657","1,300"
"325","18.03.20","63","-1,235","1,047"
"326","18.03.19","1,483","-833","-531"
"327","18.03.16","12","1,638","-596"
"328","18.03.15","194","-421","296"
"329","18.03.14","2,841","-1,295","-1,429"
"330","18.03.13","-3,103","5,818","-2,650"
"331","18.03.12","-2,917","1,938","1,009"
"332","18.03.09","-4,900","1,989","2,916"
"333","18.03.08","-4,264","-1,742","5,949"
"334","18.03.07","3,585","-2,595","-1,036"
"335","18.03.06","-1,713","131","1,608"
"336","18.03.05","3,204","-889","-2,135"
"337","18.03.02","5,344","-2,327","-2,732"
"338","18.02.28","1,075","1,437","-2,646"
"339","18.02.27","-1,895","44","2,045"
"340","18.02.26","-1,373","-1,824","3,518"
"341","18.02.23","-5,230","1,556","3,767"
"342","18.02.22","1,996","-977","-1,074"
"343","18.02.21","74","-1,016","1,144"
"344","18.02.20","2,550","290","-2,978"
"345","18.02.19","-730","263","346"
"346","18.02.14","-2,054","1,035","1,110"
"347","18.02.13","-1,661","3,297","-1,859"
"348","18.02.12","971","-790","-175"
"349","18.02.09","2,761","-3,152","203"
"350","18.02.08","2,437","908","-3,483"
"351","18.02.07","9,264","-1,914","-7,395"
"352","18.02.06","1,565","-2,810","1,079"
"353","18.02.05","4,955","-4,554","-419"
"354","18.02.02","7,374","-4,640","-2,810"
"355","18.02.01","2,170","-2,722","293"
"356","18.01.31","7,941","-6,642","-1,844"
"357","18.01.30","2,534","-1,223","-1,433"
"358","18.01.29","-7,116","3,226","3,614"
"359","18.01.26","-3,853","1,808","1,168"
"360","18.01.25","-7,154","3,754","2,999"
"361","18.01.24","-2,813","-160","2,443"
"362","18.01.23","-5,925","2,160","3,405"
"363","18.01.22","2,471","-1,762","-735"
"364","18.01.19","-91","-814","414"
"365","18.01.18","915","949","-2,234"
"366","18.01.17","1,733","680","-2,883"
"367","18.01.16","-2,777","2,768","-249"
"368","18.01.15","-698","244","145"
"369","18.01.12","-871","-1,176","1,644"
"370","18.01.11","3,170","1,756","-5,447"
"371","18.01.10","1,302","-2,789","993"
"372","18.01.09","-2,606","438","2,122"
"373","18.01.08","-3,512","3,908","-873"
"374","18.01.05","-3,705","2,457","1,022"
"375","18.01.04","442","3,359","-3,845"
"376","18.01.03","-242","3,992","-3,980"
"377","18.01.02","-267","2,634","-2,762"
"378","17.12.28","-2,129","1,798","307"
"379","17.12.27","4,659","-1,093","-3,753"
"380","17.12.26","-8,944","158","8,725"
"381","17.12.22","-8,491","1,313","3,882"
"382","17.12.21","-84","-3,275","3,112"
"383","17.12.20","-3,681","-3,075","6,175"
"384","17.12.19","-3,572","639","2,846"
"385","17.12.18","-1,294","-1,676","2,653"
"386","17.12.15","-2,570","-2,021","4,217"
"387","17.12.14","-3,781","3,850","-148"
"388","17.12.13","-5,119","-2,055","6,948"
"389","17.12.12","1,475","-2,445","623"
"390","17.12.11","-916","-1,660","2,306"
"391","17.12.08","388","-1,042","401"
